Time,Region
3151.126,None-p06_s03y
3151.326,None-p06_s03y
3151.526,None-p06_s03y
3151.726,None-p06_s03y
3151.926,None-p06_s03y
3152.126,None-p06_s03y
3152.326,None-p06_s03y
3152.526,None-p06_s03y
3152.726,None-p06_s03y
3152.926,D
3153.126,D
3153.326,None-p06_s03y
3153.526,None-p06_s03y
3153.726,None-p06_s03y
3153.926,None-p06_s03y
3154.126,None-p06_s03y
3154.326,None-p06_s03y
3154.526,None-p06_s03y
3154.726,None-p06_s03y
3154.926,E
3155.126,None-p06_s03y
3155.326,None-p06_s03y
3155.526,None-p06_s03y
3155.726,None-p06_s03y
3155.926,None-p06_s03y
3156.126,None-p06_s03y
3156.326,D
3156.526,D
3156.726,None-p06_s03y
3156.926,None-p06_s03y
3157.126,None-p06_s03y
3157.326,None-p06_s03y
3157.526,None-p06_s03y
3157.726,None-p06_s03y
3157.926,None-p06_s03y
3158.126,None-p06_s03y
3158.326,None-p06_s03y
3158.526,None-p06_s03y
3158.726,None-p06_s03y
3158.926,None-p06_s03y
3159.126,None-p06_s03y
3159.326,None-p06_s03y
3159.526,E
3159.726,None-p06_s03y
3159.926,None-p06_s03y
3160.126,None-p06_s03y
3160.326,None-p06_s03y
3160.526,None-p06_s03y
3160.726,E
3160.926,None-p06_s03y
3161.126,None-p06_s03y
3161.326,A
3161.526,None-p06_s03y
3161.726,A
3161.926,A
3162.126,A
3162.326,A
3162.526,A
3162.726,A
3162.926,A
3163.126,A
3163.326,A
3163.526,A
3163.726,A
3163.926,A
3164.126,A
3164.326,A
3164.526,A
3164.726,A
3164.926,A
3165.126,A
3165.326,A
3165.526,A
3165.726,A
3165.926,A
3166.126,A
3166.326,A
3166.526,A
3166.726,A
3166.926,A
3167.126,A
3167.326,A
3167.526,A
3167.726,A
3167.926,A
3168.126,A
3168.326,A
3168.526,A
3168.726,A
3168.926,A
3169.126,A
3169.326,A
3169.526,A
3169.726,A
3169.926,A
3170.126,A
3170.326,A
3170.526,A
3170.726,A
3170.926,A
3171.126,A
3171.326,A
3171.526,A
3171.726,A
3171.926,A
3172.126,A
3172.326,A
3172.526,B
3172.726,B
3172.926,B
3173.126,B
3173.326,B
3173.526,B
3173.726,B
3173.926,B
3174.126,B
3174.326,B
3174.526,B
3174.726,B
3174.926,B
3175.126,B
3175.326,B
3175.526,B
3175.726,B
3175.926,B
3176.126,B
3176.326,B
3176.526,B
3176.726,B
3176.926,B
3177.126,B
3177.326,B
3177.526,B
3177.726,B
3177.926,B
3178.126,B
3178.326,B
3178.526,B
3178.726,B
3178.926,B
3179.126,B
3179.326,B
3179.526,B
3179.726,B
3179.926,B
3180.126,B
3180.326,B
3180.526,B
3180.726,B
3180.926,None-p06_s03y
3181.126,B
3181.326,B
3181.526,B
3181.726,C
3181.926,C
3182.126,C
3182.326,C
3182.526,C
3182.726,C
3182.926,C
3183.126,C
3183.326,C
3183.526,C
3183.726,C
3183.926,C
3184.126,C
3184.326,C
3184.526,C
3184.726,C
3184.926,C
3185.126,C
3185.326,C
3185.526,C
3185.726,C
3185.926,C
3186.126,C
3186.326,None-p06_s03y
3186.526,C
3186.726,C
3186.926,C
3187.126,C
3187.326,C
3187.526,C
3187.726,C
3187.926,C
3188.126,C
3188.326,C
3188.526,C
3188.726,C
3188.926,C
3189.126,C
3189.326,C
3189.526,C
3189.726,C
3189.926,C
3190.126,C
3190.326,C
3190.526,C
3190.726,C
3190.926,C
3191.126,C
3191.326,C
3191.526,C
3191.726,D
3191.926,D
3192.126,D
3192.326,D
3192.526,D
3192.726,None-p06_s03y
3192.926,D
3193.126,D
3193.326,D
3193.526,D
3193.726,D
3193.926,D
3194.126,D
3194.326,D
3194.526,D
3194.726,D
3194.926,D
3195.126,D
3195.326,D
3195.526,D
3195.726,D
3195.926,D
3196.126,D
3196.326,D
3196.526,D
3196.726,D
3196.926,D
3197.126,D
3197.326,D
3197.526,D
3197.726,D
3197.926,D
3198.126,D
3198.326,D
3198.526,D
3198.726,D
3198.926,D
3199.126,D
3199.326,D
3199.526,D
3199.726,D
3199.926,D
3200.126,D
3200.326,D
3200.526,D
3200.726,D
3200.926,D
3201.126,D
3201.326,D
3201.526,D
3201.726,D
3201.926,D
3202.126,D
3202.326,D
3202.526,D
3202.726,D
3202.926,D
3203.126,D
3203.326,D
3203.526,D
3203.726,D
3203.926,D
3204.126,D
3204.326,E
3204.526,E
3204.726,E
3204.926,E
3205.126,E
3205.326,E
3205.526,E
3205.726,None-p06_s03y
3205.926,None-p06_s03y
3206.126,None-p06_s03y
3206.326,None-p06_s03y
3206.526,E
3206.726,E
3206.926,E
3207.126,E
3207.326,E
3207.526,E
3207.726,E
3207.926,E
3208.126,E
3208.326,E
3208.526,E
3208.726,E
3208.926,E
3209.126,E
3209.326,E
3209.526,E
3209.726,E
3209.926,E
3210.126,E
3210.326,E
3210.526,E
3210.726,E
3210.926,E
3211.126,E
