Time,Region
422688.885,None-p01_s01b
422689.085,None-p01_s01b
422689.285,None-p01_s01b
422689.485,None-p01_s01b
422689.685,None-p01_s01b
422689.885,None-p01_s01b
422690.085,None-p01_s01b
422690.285,None-p01_s01b
422690.485,None-p01_s01b
422690.685,None-p01_s01b
422690.885,None-p01_s01b
422691.085,None-p01_s01b
422691.285,None-p01_s01b
422691.485,None-p01_s01b
422691.685,None-p01_s01b
422691.885,None-p01_s01b
422692.085,None-p01_s01b
422692.285,None-p01_s01b
422692.485,None-p01_s01b
422692.685,None-p01_s01b
422692.885,None-p01_s01b
422693.085,None-p01_s01b
422693.285,None-p01_s01b
422693.485,None-p01_s01b
422693.685,None-p01_s01b
422693.885,None-p01_s01b
422694.085,None-p01_s01b
422694.285,None-p01_s01b
422694.485,None-p01_s01b
422694.685,None-p01_s01b
422694.885,None-p01_s01b
422695.085,None-p01_s01b
422695.285,None-p01_s01b
422695.485,None-p01_s01b
422695.685,None-p01_s01b
422695.885,None-p01_s01b
422696.085,None-p01_s01b
422696.285,None-p01_s01b
422696.485,None-p01_s01b
422696.685,F
422696.885,None-p01_s01b
422697.085,None-p01_s01b
422697.285,None-p01_s01b
422697.485,None-p01_s01b
422697.685,None-p01_s01b
422697.885,None-p01_s01b
422698.085,None-p01_s01b
422698.285,None-p01_s01b
422698.485,None-p01_s01b
422698.685,None-p01_s01b
422698.885,None-p01_s01b
422699.085,None-p01_s01b
422699.285,E
422699.485,D
422699.685,D
422699.885,C
422700.085,C
422700.285,C
422700.485,C
422700.685,C
422700.885,B
422701.085,B
422701.285,B
422701.485,A
422701.685,A
422701.885,F
422702.085,F
422702.285,F
422702.485,E
422702.685,E
422702.885,E
422703.085,D
422703.285,D
422703.485,None-p01_s01b
422703.685,None-p01_s01b
422703.885,D
422704.085,D
422704.285,D
422704.485,D
422704.685,C
422704.885,C
422705.085,None-p01_s01b
422705.285,face
422705.485,B
422705.685,B
422705.885,B
422706.085,B
422706.285,B
422706.485,A
422706.685,A
422706.885,A
422707.085,A
422707.285,None-p01_s01b
422707.485,F
422707.685,None-p01_s01b
422707.885,F
422708.085,F
422708.285,F
422708.485,E
422708.685,E
422708.885,E
422709.085,D
422709.285,D
422709.485,None-p01_s01b
422709.685,C
422709.885,C
422710.085,C
422710.285,C
422710.485,A
422710.685,A
422710.885,A
422711.085,A
422711.285,F
422711.485,F
422711.685,None-p01_s01b
422711.885,E
422712.085,E
422712.285,E
422712.485,F
422712.685,F
422712.885,E
422713.085,face
422713.285,C
422713.485,C
422713.685,None-p01_s01b
422713.885,None-p01_s01b
422714.085,D
422714.285,None-p01_s01b
422714.485,C
422714.685,C
422714.885,A
422715.085,A
422715.285,A
422715.485,A
422715.685,None-p01_s01b
422715.885,None-p01_s01b
422716.085,None-p01_s01b
