Time,Region
422773.885,None-p02_s01y
422774.085,None-p02_s01y
422774.285,None-p02_s01y
422774.485,None-p02_s01y
422774.685,None-p02_s01y
422774.885,None-p02_s01y
422775.085,None-p02_s01y
422775.285,None-p02_s01y
422775.485,None-p02_s01y
422775.685,None-p02_s01y
422775.885,None-p02_s01y
422776.085,None-p02_s01y
422776.285,None-p02_s01y
422776.485,A
422776.685,A
422776.885,A
422777.085,A
422777.285,A
422777.485,A
422777.685,A
422777.885,A
422778.085,None-p02_s01y
422778.285,None-p02_s01y
422778.485,None-p02_s01y
422778.685,None-p02_s01y
422778.885,None-p02_s01y
422779.085,None-p02_s01y
422779.285,None-p02_s01y
422779.485,None-p02_s01y
422779.685,None-p02_s01y
422779.885,None-p02_s01y
422780.085,None-p02_s01y
422780.285,None-p02_s01y
422780.485,None-p02_s01y
422780.685,None-p02_s01y
422780.885,None-p02_s01y
422781.085,None-p02_s01y
422781.285,None-p02_s01y
422781.485,None-p02_s01y
422781.685,None-p02_s01y
422781.885,None-p02_s01y
422782.085,None-p02_s01y
422782.285,None-p02_s01y
422782.485,None-p02_s01y
422782.685,None-p02_s01y
422782.885,None-p02_s01y
422783.085,None-p02_s01y
422783.285,None-p02_s01y
422783.485,None-p02_s01y
422783.685,None-p02_s01y
422783.885,None-p02_s01y
422784.085,None-p02_s01y
422784.285,None-p02_s01y
422784.485,None-p02_s01y
422784.685,B
422784.885,B
422785.085,B
422785.285,B
422785.485,None-p02_s01y
422785.685,face
422785.885,face
422786.085,face
422786.285,face
422786.485,face
422786.685,face
422786.885,face
422787.085,face
422787.285,face
422787.485,face
422787.685,B
422787.885,B
422788.085,B
422788.285,B
422788.485,B
422788.685,B
422788.885,B
422789.085,B
422789.285,B
422789.485,B
422789.685,B
422789.885,B
422790.085,B
422790.285,B
422790.485,B
422790.685,face
422790.885,face
422791.085,None-p02_s01y
422791.285,None-p02_s01y
422791.485,B
422791.685,B
422791.885,B
422792.085,B
422792.285,B
422792.485,B
422792.685,B
422792.885,B
422793.085,face
422793.285,face
422793.485,face
422793.685,face
422793.885,None-p02_s01y
422794.085,B
422794.285,B
422794.485,B
422794.685,B
422794.885,B
422795.085,B
422795.285,B
422795.485,B
422795.685,None-p02_s01y
422795.885,B
422796.085,B
422796.285,B
422796.485,B
422796.685,None-p02_s01y
422796.885,B
422797.085,B
422797.285,B
422797.485,B
422797.685,B
422797.885,None-p02_s01y
422798.085,B
422798.285,B
422798.485,B
422798.685,B
422798.885,B
422799.085,B
422799.285,E
422799.485,E
422799.685,None-p02_s01y
422799.885,None-p02_s01y
422800.085,face
422800.285,face
422800.485,None-p02_s01y
422800.685,C
422800.885,C
422801.085,C
422801.285,C
422801.485,None-p02_s01y
422801.685,None-p02_s01y
422801.885,None-p02_s01y
422802.085,None-p02_s01y
422802.285,None-p02_s01y
422802.485,E
422802.685,E
422802.885,E
422803.085,None-p02_s01y
422803.285,F
422803.485,F
422803.685,F
422803.885,F
422804.085,F
422804.285,F
422804.485,F
422804.685,F
422804.885,F
422805.085,None-p02_s01y
422805.285,B
422805.485,B
422805.685,B
422805.885,face
422806.085,face
422806.285,face
422806.485,face
422806.685,face
422806.885,None-p02_s01y
422807.085,None-p02_s01y
422807.285,face
422807.485,face
422807.685,face
422807.885,E
422808.085,E
422808.285,E
422808.485,None-p02_s01y
422808.685,None-p02_s01y
422808.885,None-p02_s01y
422809.085,None-p02_s01y
422809.285,None-p02_s01y
422809.485,None-p02_s01y
422809.685,None-p02_s01y
422809.885,None-p02_s01y
422810.085,None-p02_s01y
422810.285,None-p02_s01y
422810.485,C
422810.685,C
422810.885,C
422811.085,C
422811.285,B
422811.485,B
422811.685,B
422811.885,None-p02_s01y
422812.085,None-p02_s01y
422812.285,None-p02_s01y
422812.485,None-p02_s01y
422812.685,face
422812.885,face
422813.085,face
422813.285,None-p02_s01y
422813.485,None-p02_s01y
422813.685,None-p02_s01y
422813.885,None-p02_s01y
422814.085,None-p02_s01y
422814.285,None-p02_s01y
422814.485,None-p02_s01y
422814.685,None-p02_s01y
422814.885,None-p02_s01y
422815.085,None-p02_s01y
422815.285,None-p02_s01y
422815.485,None-p02_s01y
422815.685,None-p02_s01y
422815.885,None-p02_s01y
422816.085,None-p02_s01y
422816.285,E
422816.485,B
422816.685,B
422816.885,B
422817.085,B
422817.285,B
422817.485,B
422817.685,B
422817.885,B
422818.085,B
