Time,Region
3236.126,None-p05_s03b
3236.326,None-p05_s03b
3236.526,None-p05_s03b
3236.726,None-p05_s03b
3236.926,None-p05_s03b
3237.126,None-p05_s03b
3237.326,None-p05_s03b
3237.526,None-p05_s03b
3237.726,None-p05_s03b
3237.926,None-p05_s03b
3238.126,None-p05_s03b
3238.326,None-p05_s03b
3238.526,None-p05_s03b
3238.726,None-p05_s03b
3238.926,None-p05_s03b
3239.126,None-p05_s03b
3239.326,None-p05_s03b
3239.526,None-p05_s03b
3239.726,None-p05_s03b
3239.926,None-p05_s03b
3240.126,None-p05_s03b
3240.326,None-p05_s03b
3240.526,None-p05_s03b
3240.726,None-p05_s03b
3240.926,None-p05_s03b
3241.126,None-p05_s03b
3241.326,None-p05_s03b
3241.526,None-p05_s03b
3241.726,None-p05_s03b
3241.926,None-p05_s03b
3242.126,None-p05_s03b
3242.326,None-p05_s03b
3242.526,None-p05_s03b
3242.726,None-p05_s03b
3242.926,None-p05_s03b
3243.126,None-p05_s03b
3243.326,None-p05_s03b
3243.526,None-p05_s03b
3243.726,None-p05_s03b
3243.926,None-p05_s03b
3244.126,None-p05_s03b
3244.326,None-p05_s03b
3244.526,None-p05_s03b
3244.726,None-p05_s03b
3244.926,None-p05_s03b
3245.126,None-p05_s03b
3245.326,None-p05_s03b
3245.526,F
3245.726,D
3245.926,D
3246.126,None-p05_s03b
3246.326,None-p05_s03b
3246.526,None-p05_s03b
3246.726,face
3246.926,face
3247.126,face
3247.326,E
3247.526,None-p05_s03b
3247.726,None-p05_s03b
3247.926,None-p05_s03b
3248.126,face
3248.326,face
3248.526,face
3248.726,face
3248.926,face
3249.126,face
3249.326,face
3249.526,face
3249.726,face
3249.926,face
3250.126,face
3250.326,E
3250.526,E
3250.726,E
3250.926,E
3251.126,E
3251.326,E
3251.526,E
3251.726,E
3251.926,E
3252.126,E
3252.326,E
3252.526,None-p05_s03b
3252.726,D
3252.926,E
3253.126,E
3253.326,E
3253.526,E
3253.726,E
3253.926,None-p05_s03b
3254.126,C
3254.326,B
3254.526,A
3254.726,None-p05_s03b
3254.926,F
3255.126,E
3255.326,E
3255.526,E
3255.726,None-p05_s03b
3255.926,None-p05_s03b
3256.126,None-p05_s03b
3256.326,None-p05_s03b
3256.526,None-p05_s03b
3256.726,None-p05_s03b
3256.926,None-p05_s03b
3257.126,None-p05_s03b
3257.326,None-p05_s03b
3257.526,F
3257.726,F
3257.926,F
3258.126,None-p05_s03b
3258.326,None-p05_s03b
3258.526,F
3258.726,F
3258.926,F
3259.126,F
3259.326,F
3259.526,F
3259.726,F
3259.926,F
3260.126,None-p05_s03b
3260.326,None-p05_s03b
3260.526,F
3260.726,F
3260.926,E
3261.126,D
3261.326,C
3261.526,None-p05_s03b
3261.726,D
3261.926,D
3262.126,D
3262.326,D
3262.526,D
3262.726,D
3262.926,D
3263.126,D
3263.326,D
3263.526,D
3263.726,D
3263.926,D
3264.126,D
