Time,Region
3236.126,face
3236.326,E
3236.526,None-p06_s03y
3236.726,None-p06_s03y
3236.926,None-p06_s03y
3237.126,None-p06_s03y
3237.326,face
3237.526,None-p06_s03y
3237.726,None-p06_s03y
3237.926,E
3238.126,None-p06_s03y
3238.326,None-p06_s03y
3238.526,None-p06_s03y
3238.726,None-p06_s03y
3238.926,None-p06_s03y
3239.126,None-p06_s03y
3239.326,None-p06_s03y
3239.526,None-p06_s03y
3239.726,None-p06_s03y
3239.926,None-p06_s03y
3240.126,None-p06_s03y
3240.326,None-p06_s03y
3240.526,None-p06_s03y
3240.726,None-p06_s03y
3240.926,None-p06_s03y
3241.126,None-p06_s03y
3241.326,None-p06_s03y
3241.526,None-p06_s03y
3241.726,None-p06_s03y
3241.926,None-p06_s03y
3242.126,None-p06_s03y
3242.326,None-p06_s03y
3242.526,face
3242.726,None-p06_s03y
3242.926,None-p06_s03y
3243.126,face
3243.326,E
3243.526,None-p06_s03y
3243.726,face
3243.926,None-p06_s03y
3244.126,None-p06_s03y
3244.326,None-p06_s03y
3244.526,None-p06_s03y
3244.726,None-p06_s03y
3244.926,None-p06_s03y
3245.126,None-p06_s03y
3245.326,None-p06_s03y
3245.526,None-p06_s03y
3245.726,None-p06_s03y
3245.926,E
3246.126,E
3246.326,None-p06_s03y
3246.526,None-p06_s03y
3246.726,face
3246.926,None-p06_s03y
3247.126,face
3247.326,face
3247.526,face
3247.726,face
3247.926,face
3248.126,face
3248.326,E
3248.526,E
3248.726,B
3248.926,B
3249.126,E
3249.326,E
3249.526,None-p06_s03y
3249.726,E
3249.926,E
3250.126,E
3250.326,None-p06_s03y
3250.526,face
3250.726,face
3250.926,face
3251.126,face
3251.326,E
3251.526,E
3251.726,E
3251.926,E
3252.126,E
3252.326,E
3252.526,None-p06_s03y
3252.726,face
3252.926,face
3253.126,None-p06_s03y
3253.326,face
3253.526,face
3253.726,face
3253.926,face
3254.126,face
3254.326,face
3254.526,face
3254.726,face
3254.926,E
3255.126,E
3255.326,A
3255.526,B
3255.726,B
3255.926,D
3256.126,C
3256.326,C
3256.526,E
3256.726,E
3256.926,E
3257.126,face
3257.326,face
3257.526,None-p06_s03y
3257.726,None-p06_s03y
3257.926,None-p06_s03y
3258.126,None-p06_s03y
3258.326,None-p06_s03y
3258.526,None-p06_s03y
3258.726,None-p06_s03y
3258.926,F
3259.126,None-p06_s03y
3259.326,None-p06_s03y
3259.526,F
3259.726,None-p06_s03y
3259.926,None-p06_s03y
3260.126,None-p06_s03y
3260.326,None-p06_s03y
3260.526,None-p06_s03y
3260.726,None-p06_s03y
3260.926,None-p06_s03y
3261.126,None-p06_s03y
3261.326,E
3261.526,E
3261.726,E
3261.926,E
3262.126,face
3262.326,face
3262.526,D
3262.726,D
3262.926,D
3263.126,D
3263.326,D
3263.526,D
3263.726,D
3263.926,D
3264.126,D
3264.326,D
3264.526,D
3264.726,D
3264.926,D
3265.126,D
3265.326,D
3265.526,D
3265.726,D
3265.926,D
3266.126,D
3266.326,D
3266.526,D
3266.726,D
3266.926,D
3267.126,D
3267.326,None-p06_s03y
3267.526,D
3267.726,D
3267.926,D
3268.126,D
3268.326,D
3268.526,D
3268.726,D
3268.926,D
3269.126,D
3269.326,D
3269.526,C
3269.726,C
3269.926,C
3270.126,C
3270.326,C
3270.526,None-p06_s03y
3270.726,D
3270.926,D
3271.126,D
3271.326,None-p06_s03y
3271.526,C
3271.726,None-p06_s03y
3271.926,D
3272.126,D
3272.326,face
3272.526,B
3272.726,B
3272.926,B
3273.126,A
3273.326,A
3273.526,A
3273.726,A
3273.926,B
3274.126,B
3274.326,C
3274.526,C
3274.726,C
3274.926,E
3275.126,None-p06_s03y
3275.326,E
3275.526,D
3275.726,D
3275.926,E
3276.126,None-p06_s03y
3276.326,A
3276.526,A
3276.726,A
3276.926,A
3277.126,A
3277.326,A
3277.526,A
3277.726,A
3277.926,A
3278.126,A
3278.326,face
3278.526,face
3278.726,face
3278.926,A
3279.126,A
3279.326,A
3279.526,A
3279.726,None-p06_s03y
3279.926,A
3280.126,A
3280.326,A
3280.526,A
3280.726,A
3280.926,A
3281.126,A
3281.326,A
3281.526,A
3281.726,A
3281.926,A
3282.126,A
3282.326,A
3282.526,A
3282.726,A
3282.926,A
3283.126,A
3283.326,A
3283.526,A
3283.726,A
3283.926,A
3284.126,A
3284.326,A
3284.526,A
3284.726,A
3284.926,A
3285.126,A
