Time,Region
511933.760,None-p03_s02b
511933.960,None-p03_s02b
511934.160,None-p03_s02b
511934.360,None-p03_s02b
511934.560,None-p03_s02b
511934.760,None-p03_s02b
511934.960,None-p03_s02b
511935.160,None-p03_s02b
511935.360,None-p03_s02b
511935.560,None-p03_s02b
511935.760,None-p03_s02b
511935.960,None-p03_s02b
511936.160,None-p03_s02b
511936.360,None-p03_s02b
511936.560,None-p03_s02b
511936.760,None-p03_s02b
511936.960,None-p03_s02b
511937.160,None-p03_s02b
511937.360,None-p03_s02b
511937.560,None-p03_s02b
511937.760,None-p03_s02b
511937.960,None-p03_s02b
511938.160,None-p03_s02b
511938.360,None-p03_s02b
511938.560,None-p03_s02b
511938.760,None-p03_s02b
511938.960,None-p03_s02b
511939.160,None-p03_s02b
511939.360,None-p03_s02b
511939.560,None-p03_s02b
511939.760,E
511939.960,D
511940.160,D
511940.360,D
511940.560,E
511940.760,F
511940.960,F
511941.160,E
511941.360,E
511941.560,B
511941.760,B
511941.960,face
511942.160,None-p03_s02b
511942.360,None-p03_s02b
511942.560,F
511942.760,None-p03_s02b
511942.960,F
511943.160,None-p03_s02b
511943.360,None-p03_s02b
511943.560,F
511943.760,F
511943.960,None-p03_s02b
511944.160,A
511944.360,None-p03_s02b
511944.560,A
511944.760,A
511944.960,A
511945.160,None-p03_s02b
511945.360,F
511945.560,F
511945.760,None-p03_s02b
511945.960,None-p03_s02b
511946.160,A
511946.360,B
511946.560,B
511946.760,None-p03_s02b
511946.960,E
511947.160,E
511947.360,E
511947.560,E
511947.760,E
511947.960,E
511948.160,B
511948.360,B
511948.560,B
511948.760,B
511948.960,C
511949.160,C
511949.360,B
511949.560,B
511949.760,B
511949.960,C
511950.160,C
511950.360,C
511950.560,C
511950.760,C
511950.960,C
511951.160,D
511951.360,D
511951.560,D
511951.760,E
511951.960,F
511952.160,A
511952.360,A
511952.560,A
511952.760,B
511952.960,B
511953.160,None-p03_s02b
511953.360,E
511953.560,E
511953.760,E
511953.960,B
511954.160,B
511954.360,B
511954.560,None-p03_s02b
511954.760,E
511954.960,E
511955.160,E
511955.360,E
511955.560,E
511955.760,E
511955.960,B
511956.160,B
511956.360,B
511956.560,None-p03_s02b
511956.760,B
511956.960,None-p03_s02b
511957.160,B
511957.360,B
511957.560,B
511957.760,B
511957.960,None-p03_s02b
511958.160,E
511958.360,None-p03_s02b
511958.560,E
511958.760,None-p03_s02b
511958.960,E
511959.160,E
511959.360,E
511959.560,E
511959.760,C
511959.960,C
511960.160,C
511960.360,C
511960.560,D
511960.760,D
511960.960,E
511961.160,E
511961.360,A
511961.560,A
511961.760,A
511961.960,B
511962.160,B
511962.360,C
511962.560,None-p03_s02b
511962.760,D
511962.960,D
511963.160,D
511963.360,D
511963.560,C
511963.760,C
511963.960,C
511964.160,E
511964.360,F
511964.560,B
511964.760,B
511964.960,B
511965.160,B
511965.360,B
511965.560,B
511965.760,face
511965.960,B
511966.160,B
511966.360,B
511966.560,None-p03_s02b
511966.760,None-p03_s02b
511966.960,E
511967.160,None-p03_s02b
511967.360,E
511967.560,None-p03_s02b
511967.760,None-p03_s02b
511967.960,None-p03_s02b
511968.160,None-p03_s02b
511968.360,B
511968.560,B
511968.760,B
511968.960,B
511969.160,B
511969.360,B
511969.560,B
511969.760,B
511969.960,B
511970.160,B
511970.360,B
511970.560,B
511970.760,None-p03_s02b
511970.960,B
511971.160,B
511971.360,B
511971.560,B
511971.760,B
511971.960,B
511972.160,B
511972.360,E
511972.560,E
511972.760,E
511972.960,E
511973.160,None-p03_s02b
511973.360,None-p03_s02b
511973.560,None-p03_s02b
511973.760,E
511973.960,E
511974.160,E
511974.360,E
511974.560,E
511974.760,None-p03_s02b
511974.960,C
511975.160,C
511975.360,D
511975.560,D
511975.760,D
511975.960,D
511976.160,D
511976.360,D
511976.560,D
511976.760,C
511976.960,C
511977.160,C
511977.360,C
511977.560,C
511977.760,C
511977.960,C
511978.160,C
511978.360,face
511978.560,face
511978.760,face
511978.960,F
511979.160,None-p03_s02b
511979.360,F
511979.560,F
511979.760,F
511979.960,F
511980.160,None-p03_s02b
511980.360,None-p03_s02b
511980.560,None-p03_s02b
511980.760,None-p03_s02b
511980.960,F
511981.160,F
511981.360,F
511981.560,F
511981.760,F
511981.960,F
511982.160,None-p03_s02b
511982.360,None-p03_s02b
511982.560,F
511982.760,F
511982.960,F
511983.160,A
511983.360,A
511983.560,A
511983.760,A
511983.960,A
511984.160,A
511984.360,None-p03_s02b
511984.560,F
511984.760,B
511984.960,face
511985.160,B
511985.360,B
511985.560,face
511985.760,face
511985.960,E
511986.160,E
511986.360,F
511986.560,F
511986.760,None-p03_s02b
511986.960,F
511987.160,F
511987.360,F
511987.560,F
511987.760,F
511987.960,F
511988.160,F
511988.360,face
511988.560,F
511988.760,F
511988.960,E
511989.160,B
511989.360,B
511989.560,B
511989.760,E
511989.960,E
511990.160,None-p03_s02b
511990.360,D
511990.560,D
511990.760,C
511990.960,C
511991.160,C
511991.360,D
511991.560,D
511991.760,D
511991.960,None-p03_s02b
511992.160,face
511992.360,face
511992.560,E
511992.760,D
511992.960,D
511993.160,D
511993.360,D
511993.560,D
511993.760,C
