Time,Region
511933.760,None-p04_s02y
511933.960,None-p04_s02y
511934.160,A
511934.360,None-p04_s02y
511934.560,None-p04_s02y
511934.760,None-p04_s02y
511934.960,None-p04_s02y
511935.160,A
511935.360,A
511935.560,None-p04_s02y
511935.760,None-p04_s02y
511935.960,None-p04_s02y
511936.160,None-p04_s02y
511936.360,None-p04_s02y
511936.560,None-p04_s02y
511936.760,A
511936.960,A
511937.160,None-p04_s02y
511937.360,None-p04_s02y
511937.560,A
511937.760,A
511937.960,None-p04_s02y
511938.160,None-p04_s02y
511938.360,None-p04_s02y
511938.560,A
511938.760,A
511938.960,None-p04_s02y
511939.160,None-p04_s02y
511939.360,A
511939.560,A
511939.760,None-p04_s02y
511939.960,None-p04_s02y
511940.160,A
511940.360,None-p04_s02y
511940.560,None-p04_s02y
511940.760,None-p04_s02y
511940.960,None-p04_s02y
511941.160,A
511941.360,A
511941.560,None-p04_s02y
511941.760,face
511941.960,B
511942.160,A
511942.360,A
511942.560,A
511942.760,None-p04_s02y
511942.960,B
511943.160,None-p04_s02y
511943.360,A
511943.560,A
511943.760,B
511943.960,C
511944.160,None-p04_s02y
511944.360,None-p04_s02y
511944.560,E
511944.760,D
511944.960,None-p04_s02y
511945.160,D
511945.360,D
511945.560,D
511945.760,D
511945.960,D
511946.160,D
511946.360,D
511946.560,D
511946.760,D
511946.960,D
511947.160,D
511947.360,D
511947.560,D
511947.760,D
511947.960,D
511948.160,D
511948.360,D
511948.560,D
511948.760,D
511948.960,D
511949.160,E
511949.360,E
511949.560,None-p04_s02y
511949.760,E
511949.960,None-p04_s02y
511950.160,None-p04_s02y
511950.360,None-p04_s02y
511950.560,None-p04_s02y
511950.760,None-p04_s02y
511950.960,E
511951.160,E
511951.360,None-p04_s02y
511951.560,None-p04_s02y
511951.760,E
511951.960,E
511952.160,E
511952.360,E
511952.560,E
511952.760,E
511952.960,None-p04_s02y
511953.160,None-p04_s02y
511953.360,None-p04_s02y
511953.560,None-p04_s02y
511953.760,E
511953.960,E
511954.160,E
511954.360,E
511954.560,A
511954.760,A
511954.960,A
511955.160,A
511955.360,B
511955.560,B
511955.760,B
511955.960,A
511956.160,A
511956.360,A
511956.560,A
511956.760,A
511956.960,A
511957.160,A
511957.360,F
511957.560,None-p04_s02y
511957.760,None-p04_s02y
511957.960,None-p04_s02y
511958.160,B
511958.360,B
511958.560,B
511958.760,B
511958.960,B
511959.160,C
511959.360,C
511959.560,C
511959.760,C
511959.960,None-p04_s02y
511960.160,C
511960.360,C
511960.560,C
511960.760,C
511960.960,D
511961.160,D
511961.360,D
511961.560,None-p04_s02y
511961.760,None-p04_s02y
511961.960,None-p04_s02y
511962.160,None-p04_s02y
511962.360,None-p04_s02y
511962.560,None-p04_s02y
511962.760,E
511962.960,E
511963.160,D
511963.360,D
511963.560,D
511963.760,E
511963.960,E
511964.160,None-p04_s02y
511964.360,None-p04_s02y
511964.560,None-p04_s02y
511964.760,None-p04_s02y
511964.960,None-p04_s02y
511965.160,E
511965.360,None-p04_s02y
511965.560,None-p04_s02y
511965.760,face
511965.960,B
511966.160,B
511966.360,A
511966.560,A
511966.760,A
511966.960,A
511967.160,A
511967.360,A
511967.560,A
511967.760,A
511967.960,A
511968.160,A
511968.360,A
511968.560,face
511968.760,None-p04_s02y
511968.960,None-p04_s02y
511969.160,None-p04_s02y
511969.360,None-p04_s02y
511969.560,None-p04_s02y
511969.760,E
511969.960,E
511970.160,None-p04_s02y
511970.360,None-p04_s02y
511970.560,None-p04_s02y
511970.760,None-p04_s02y
511970.960,E
511971.160,None-p04_s02y
511971.360,None-p04_s02y
511971.560,None-p04_s02y
511971.760,face
511971.960,face
511972.160,face
511972.360,E
511972.560,E
511972.760,E
511972.960,E
511973.160,E
511973.360,E
511973.560,E
511973.760,E
511973.960,E
511974.160,None-p04_s02y
511974.360,None-p04_s02y
511974.560,None-p04_s02y
511974.760,None-p04_s02y
511974.960,None-p04_s02y
511975.160,None-p04_s02y
511975.360,None-p04_s02y
511975.560,None-p04_s02y
511975.760,C
511975.960,C
511976.160,C
511976.360,C
511976.560,B
511976.760,B
511976.960,B
511977.160,B
511977.360,B
511977.560,B
511977.760,B
511977.960,B
511978.160,B
511978.360,None-p04_s02y
511978.560,B
511978.760,B
511978.960,B
511979.160,B
511979.360,B
511979.560,B
511979.760,B
511979.960,B
511980.160,B
511980.360,A
511980.560,A
511980.760,A
511980.960,A
511981.160,face
511981.360,None-p04_s02y
511981.560,None-p04_s02y
511981.760,None-p04_s02y
511981.960,E
511982.160,E
511982.360,None-p04_s02y
511982.560,None-p04_s02y
511982.760,None-p04_s02y
511982.960,None-p04_s02y
511983.160,None-p04_s02y
511983.360,None-p04_s02y
511983.560,None-p04_s02y
511983.760,None-p04_s02y
511983.960,None-p04_s02y
511984.160,None-p04_s02y
511984.360,None-p04_s02y
511984.560,None-p04_s02y
511984.760,None-p04_s02y
511984.960,None-p04_s02y
511985.160,A
511985.360,A
511985.560,A
511985.760,B
511985.960,B
511986.160,None-p04_s02y
511986.360,A
511986.560,A
511986.760,A
511986.960,A
511987.160,A
511987.360,A
511987.560,A
511987.760,face
511987.960,A
511988.160,A
511988.360,A
511988.560,A
511988.760,A
511988.960,None-p04_s02y
511989.160,B
511989.360,B
511989.560,B
511989.760,E
511989.960,E
511990.160,E
511990.360,E
511990.560,E
511990.760,E
511990.960,E
511991.160,E
511991.360,None-p04_s02y
511991.560,None-p04_s02y
511991.760,None-p04_s02y
511991.960,E
511992.160,None-p04_s02y
511992.360,None-p04_s02y
511992.560,None-p04_s02y
511992.760,E
511992.960,None-p04_s02y
511993.160,E
511993.360,None-p04_s02y
511993.560,None-p04_s02y
511993.760,None-p04_s02y
