Time,Region
512018.760,None-p04_s02y
512018.960,None-p04_s02y
512019.160,None-p04_s02y
512019.360,None-p04_s02y
512019.560,None-p04_s02y
512019.760,None-p04_s02y
512019.960,None-p04_s02y
512020.160,None-p04_s02y
512020.360,A
512020.560,A
512020.760,A
512020.960,A
512021.160,None-p04_s02y
512021.360,face
512021.560,face
512021.760,face
512021.960,None-p04_s02y
512022.160,None-p04_s02y
512022.360,None-p04_s02y
512022.560,None-p04_s02y
512022.760,None-p04_s02y
512022.960,None-p04_s02y
512023.160,A
512023.360,None-p04_s02y
512023.560,None-p04_s02y
512023.760,None-p04_s02y
512023.960,None-p04_s02y
512024.160,None-p04_s02y
512024.360,None-p04_s02y
512024.560,None-p04_s02y
512024.760,None-p04_s02y
512024.960,None-p04_s02y
512025.160,None-p04_s02y
512025.360,None-p04_s02y
512025.560,None-p04_s02y
512025.760,A
512025.960,B
512026.160,B
512026.360,None-p04_s02y
512026.560,None-p04_s02y
512026.760,None-p04_s02y
512026.960,None-p04_s02y
512027.160,None-p04_s02y
512027.360,face
512027.560,None-p04_s02y
512027.760,None-p04_s02y
512027.960,B
512028.160,A
512028.360,None-p04_s02y
512028.560,None-p04_s02y
512028.760,None-p04_s02y
512028.960,None-p04_s02y
512029.160,None-p04_s02y
512029.360,None-p04_s02y
512029.560,None-p04_s02y
512029.760,None-p04_s02y
512029.960,None-p04_s02y
512030.160,None-p04_s02y
512030.360,None-p04_s02y
512030.560,None-p04_s02y
512030.760,face
512030.960,None-p04_s02y
512031.160,None-p04_s02y
512031.360,face
512031.560,face
512031.760,face
512031.960,None-p04_s02y
512032.160,None-p04_s02y
512032.360,A
512032.560,A
512032.760,face
512032.960,face
512033.160,face
512033.360,face
512033.560,face
512033.760,None-p04_s02y
512033.960,None-p04_s02y
512034.160,None-p04_s02y
512034.360,None-p04_s02y
512034.560,face
512034.760,None-p04_s02y
512034.960,face
512035.160,face
512035.360,None-p04_s02y
512035.560,None-p04_s02y
512035.760,face
512035.960,None-p04_s02y
512036.160,None-p04_s02y
512036.360,None-p04_s02y
512036.560,face
512036.760,face
512036.960,None-p04_s02y
512037.160,A
512037.360,F
512037.560,None-p04_s02y
512037.760,None-p04_s02y
512037.960,B
512038.160,None-p04_s02y
512038.360,face
512038.560,face
512038.760,face
512038.960,face
512039.160,face
512039.360,face
512039.560,face
512039.760,face
512039.960,face
512040.160,face
512040.360,face
512040.560,face
512040.760,None-p04_s02y
512040.960,face
512041.160,None-p04_s02y
512041.360,face
512041.560,face
512041.760,face
512041.960,B
512042.160,face
512042.360,face
512042.560,None-p04_s02y
512042.760,None-p04_s02y
512042.960,A
512043.160,None-p04_s02y
512043.360,None-p04_s02y
512043.560,None-p04_s02y
512043.760,None-p04_s02y
512043.960,face
512044.160,face
512044.360,E
512044.560,None-p04_s02y
512044.760,None-p04_s02y
512044.960,face
512045.160,face
512045.360,None-p04_s02y
512045.560,None-p04_s02y
512045.760,None-p04_s02y
512045.960,None-p04_s02y
512046.160,None-p04_s02y
512046.360,None-p04_s02y
512046.560,C
512046.760,C
512046.960,C
512047.160,None-p04_s02y
512047.360,None-p04_s02y
512047.560,None-p04_s02y
512047.760,None-p04_s02y
512047.960,None-p04_s02y
512048.160,None-p04_s02y
512048.360,None-p04_s02y
512048.560,None-p04_s02y
512048.760,None-p04_s02y
512048.960,B
512049.160,B
512049.360,face
512049.560,None-p04_s02y
512049.760,face
512049.960,face
512050.160,face
512050.360,face
512050.560,face
512050.760,None-p04_s02y
512050.960,face
512051.160,None-p04_s02y
512051.360,None-p04_s02y
512051.560,None-p04_s02y
512051.760,face
512051.960,A
512052.160,None-p04_s02y
512052.360,None-p04_s02y
512052.560,None-p04_s02y
512052.760,B
512052.960,F
512053.160,face
512053.360,None-p04_s02y
512053.560,F
512053.760,face
512053.960,None-p04_s02y
512054.160,face
512054.360,face
512054.560,face
512054.760,face
512054.960,A
512055.160,None-p04_s02y
512055.360,face
512055.560,face
512055.760,face
512055.960,E
512056.160,face
512056.360,face
512056.560,face
512056.760,F
512056.960,F
512057.160,face
512057.360,face
512057.560,face
512057.760,F
512057.960,None-p04_s02y
512058.160,A
512058.360,None-p04_s02y
512058.560,None-p04_s02y
512058.760,None-p04_s02y
512058.960,None-p04_s02y
512059.160,None-p04_s02y
512059.360,None-p04_s02y
512059.560,None-p04_s02y
512059.760,None-p04_s02y
512059.960,None-p04_s02y
512060.160,None-p04_s02y
512060.360,None-p04_s02y
512060.560,face
512060.760,None-p04_s02y
512060.960,None-p04_s02y
512061.160,None-p04_s02y
512061.360,A
512061.560,None-p04_s02y
512061.760,None-p04_s02y
512061.960,None-p04_s02y
512062.160,None-p04_s02y
512062.360,None-p04_s02y
512062.560,None-p04_s02y
512062.760,None-p04_s02y
512062.960,A
512063.160,A
512063.360,A
512063.560,A
512063.760,A
512063.960,A
512064.160,A
512064.360,face
512064.560,face
512064.760,face
512064.960,E
512065.160,A
512065.360,face
512065.560,E
512065.760,E
512065.960,E
512066.160,None-p04_s02y
512066.360,E
512066.560,None-p04_s02y
512066.760,face
512066.960,face
512067.160,face
512067.360,face
512067.560,face
512067.760,face
512067.960,face
512068.160,face
512068.360,face
512068.560,face
512068.760,face
512068.960,None-p04_s02y
512069.160,None-p04_s02y
512069.360,None-p04_s02y
512069.560,None-p04_s02y
512069.760,None-p04_s02y
512069.960,None-p04_s02y
512070.160,face
512070.360,A
512070.560,A
512070.760,None-p04_s02y
512070.960,None-p04_s02y
512071.160,None-p04_s02y
512071.360,face
512071.560,E
512071.760,D
512071.960,None-p04_s02y
512072.160,None-p04_s02y
512072.360,B
512072.560,face
512072.760,face
512072.960,face
512073.160,face
512073.360,face
512073.560,face
512073.760,None-p04_s02y
512073.960,None-p04_s02y
512074.160,face
512074.360,face
512074.560,None-p04_s02y
512074.760,None-p04_s02y
512074.960,None-p04_s02y
512075.160,face
512075.360,face
512075.560,face
512075.760,None-p04_s02y
512075.960,face
512076.160,face
512076.360,face
512076.560,E
512076.760,None-p04_s02y
512076.960,None-p04_s02y
512077.160,face
512077.360,None-p04_s02y
512077.560,C
512077.760,C
512077.960,None-p04_s02y
512078.160,None-p04_s02y
512078.360,C
512078.560,C
512078.760,C
512078.960,C
512079.160,C
512079.360,C
512079.560,C
512079.760,C
512079.960,C
512080.160,D
512080.360,face
512080.560,face
512080.760,B
512080.960,None-p04_s02y
512081.160,None-p04_s02y
512081.360,None-p04_s02y
512081.560,None-p04_s02y
512081.760,None-p04_s02y
512081.960,None-p04_s02y
512082.160,None-p04_s02y
512082.360,None-p04_s02y
512082.560,None-p04_s02y
512082.760,None-p04_s02y
512082.960,None-p04_s02y
512083.160,None-p04_s02y
512083.360,A
512083.560,A
512083.760,None-p04_s02y
512083.960,None-p04_s02y
512084.160,None-p04_s02y
512084.360,None-p04_s02y
512084.560,face
512084.760,face
512084.960,B
512085.160,None-p04_s02y
512085.360,B
512085.560,B
