Time,Region
422773.885,None-p01_s01b
422774.085,None-p01_s01b
422774.285,None-p01_s01b
422774.485,None-p01_s01b
422774.685,None-p01_s01b
422774.885,None-p01_s01b
422775.085,None-p01_s01b
422775.285,None-p01_s01b
422775.485,None-p01_s01b
422775.685,None-p01_s01b
422775.885,None-p01_s01b
422776.085,None-p01_s01b
422776.285,None-p01_s01b
422776.485,None-p01_s01b
422776.685,None-p01_s01b
422776.885,None-p01_s01b
422777.085,None-p01_s01b
422777.285,None-p01_s01b
422777.485,None-p01_s01b
422777.685,None-p01_s01b
422777.885,None-p01_s01b
422778.085,None-p01_s01b
422778.285,None-p01_s01b
422778.485,None-p01_s01b
422778.685,None-p01_s01b
422778.885,None-p01_s01b
422779.085,None-p01_s01b
422779.285,None-p01_s01b
422779.485,None-p01_s01b
422779.685,None-p01_s01b
422779.885,None-p01_s01b
422780.085,None-p01_s01b
422780.285,None-p01_s01b
422780.485,None-p01_s01b
422780.685,None-p01_s01b
422780.885,None-p01_s01b
422781.085,None-p01_s01b
422781.285,None-p01_s01b
422781.485,None-p01_s01b
422781.685,None-p01_s01b
422781.885,None-p01_s01b
422782.085,None-p01_s01b
422782.285,None-p01_s01b
422782.485,None-p01_s01b
422782.685,None-p01_s01b
422782.885,None-p01_s01b
422783.085,None-p01_s01b
422783.285,None-p01_s01b
422783.485,None-p01_s01b
422783.685,None-p01_s01b
422783.885,None-p01_s01b
422784.085,None-p01_s01b
422784.285,None-p01_s01b
422784.485,None-p01_s01b
422784.685,None-p01_s01b
422784.885,None-p01_s01b
422785.085,face
422785.285,face
422785.485,face
422785.685,face
422785.885,face
422786.085,face
422786.285,face
422786.485,None-p01_s01b
422786.685,None-p01_s01b
422786.885,A
422787.085,None-p01_s01b
422787.285,B
422787.485,B
422787.685,B
422787.885,B
422788.085,B
422788.285,B
422788.485,B
422788.685,B
422788.885,B
422789.085,B
422789.285,B
422789.485,B
422789.685,B
422789.885,B
422790.085,B
422790.285,E
422790.485,B
422790.685,B
422790.885,B
422791.085,B
422791.285,face
422791.485,face
422791.685,face
422791.885,face
422792.085,face
422792.285,face
422792.485,face
422792.685,B
422792.885,B
422793.085,B
422793.285,B
422793.485,B
422793.685,None-p01_s01b
422793.885,face
422794.085,face
422794.285,face
422794.485,face
422794.685,B
422794.885,B
422795.085,B
422795.285,B
422795.485,B
422795.685,B
422795.885,B
422796.085,B
422796.285,B
422796.485,B
422796.685,B
422796.885,B
422797.085,B
422797.285,B
422797.485,None-p01_s01b
422797.685,D
422797.885,D
422798.085,D
422798.285,D
422798.485,D
422798.685,D
422798.885,D
422799.085,D
422799.285,D
422799.485,C
422799.685,C
422799.885,C
422800.085,C
422800.285,C
422800.485,B
422800.685,A
422800.885,face
422801.085,A
422801.285,None-p01_s01b
422801.485,A
422801.685,F
422801.885,E
422802.085,E
422802.285,None-p01_s01b
422802.485,E
422802.685,E
422802.885,E
422803.085,E
422803.285,E
422803.485,E
422803.685,E
